HitId,HitTitle,Annotation,AssignmentId,WorkerId,Status,AcceptTime,SubmitTime,Answer 1
3UEDKCTP9VQSZE86QJFHRRFFFRL7KU,"P45: emotional memory demo"," ",3LWJHTCVCCMUBUJ1B92RZO0M486QFK,A7NX912ETMBWU,Approved,"Tue May 03 14:33:13 PDT 2016","Tue May 03 14:33:34 PDT 2016","{""trials"":[],""thisList"":[""torture"",""love"",""miracle"",""pecan"",""hunter"",""graduate"",""hairdryer"",""treasure"",""knitting"",""stove"",""promotion"",""laughter"",""award"",""mother"",""rabies"",""suicide"",""funeral"",""sweetheart"",""coyote"",""romantic"",""fingerprint"",""slaughter"",""rape"",""lice"",""hammer"",""paradise"",""contents"",""depression"",""rainbow"",""prison"",""seasick"",""rejected"",""leprosy"",""baby"",""curtains"",""kiss"",""suffocate"",""duct"",""vomit"",""volcano"",""broom"",""cash"",""bumble"",""murderer"",""freezer""],""thisRetrieval"":""freezer, romantic, coyote, murderer"",""theseComments"":[],""theseResults"":[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1],""thisManip"":"""",""theseEmos"":[""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""neutral"",""positive"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""negative"",""neutral""],""stimDur"":10,""ITI"":10,""numpos"":1,""numneg"":1,""numneut"":2}",
3UEDKCTP9VQSZE86QJFHRRFFFRL7KU,"P45: emotional memory demo"," ",30X31N5D63QBSJH6SX54GN4WPGUASW,A1XK2SQ0Z4SCPP,Approved,"Tue May 10 16:17:13 PDT 2016","Tue May 10 16:21:09 PDT 2016","{""trials"":[],""thisList"":[""slaughter"",""contents"",""graduate"",""kiss"",""sweetheart"",""stove"",""depression"",""fingerprint"",""hairdryer"",""award"",""romantic"",""rabies"",""love"",""hunter"",""volcano"",""vomit"",""bumble"",""murderer"",""pecan"",""duct"",""suffocate"",""treasure"",""funeral"",""rainbow"",""suicide"",""hammer"",""broom"",""paradise"",""cash"",""leprosy"",""rape"",""baby"",""lice"",""freezer"",""laughter"",""coyote"",""promotion"",""curtains"",""miracle"",""torture"",""seasick"",""prison"",""knitting"",""rejected"",""mother""],""thisRetrieval"":""suicide, rejected, mother, curtains, love, kiss, laughter, suffocate, prison, duct, rainbow, broom, handle, rape, murder, joy"",""theseComments"":[],""theseResults"":[0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,1],""thisManip"":"""",""theseEmos"":[""forgotten"",""forgotten"",""forgotten"",""positive"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""positive"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""neutral"",""negative"",""forgotten"",""forgotten"",""positive"",""negative"",""forgotten"",""neutral"",""forgotten"",""forgotten"",""forgotten"",""negative"",""forgotten"",""forgotten"",""forgotten"",""positive"",""forgotten"",""forgotten"",""neutral"",""forgotten"",""forgotten"",""forgotten"",""negative"",""forgotten"",""negative"",""positive""],""stimDur"":2000,""ITI"":1000,""numpos"":5,""numneg"":5,""numneut"":3}",
3UEDKCTP9VQSZE86QJFHRRFFFRL7KU,"P45: emotional memory demo"," ",3P529IW9KYLJKX3OJ4UVI21SU2ZFL0,A1JGUKICUQDH0L,Approved,"Tue May 10 18:09:06 PDT 2016","Tue May 10 18:12:53 PDT 2016","{""trials"":[],""thisList"":[""romantic"",""cash"",""graduate"",""fingerprint"",""suffocate"",""duct"",""rejected"",""pecan"",""treasure"",""rainbow"",""mother"",""contents"",""hammer"",""coyote"",""vomit"",""rape"",""freezer"",""broom"",""stove"",""depression"",""paradise"",""lice"",""volcano"",""suicide"",""murderer"",""knitting"",""seasick"",""rabies"",""funeral"",""prison"",""torture"",""kiss"",""sweetheart"",""bumble"",""love"",""miracle"",""hunter"",""leprosy"",""laughter"",""promotion"",""hairdryer"",""curtains"",""award"",""baby"",""slaughter""],""thisRetrieval"":""love, kiss rejected vomit ; contents fingerprint sweetheart rape.\n\nasdf"",""theseComments"":[],""theseResults"":[0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0],""thisManip"":"""",""theseEmos"":[""forgotten"",""forgotten"",""forgotten"",""neutral"",""forgotten"",""forgotten"",""negative"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""neutral"",""forgotten"",""forgotten"",""negative"",""negative"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""positive"",""positive"",""forgotten"",""positive"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten""],""stimDur"":2000,""ITI"":1000,""numpos"":3,""numneg"":3,""numneut"":2}",
3UEDKCTP9VQSZE86QJFHRRFFFRL7KU,"P45: emotional memory demo"," ",3TU5ZICBRD1LWF9E3VWLPWJ0H49Q8J,A3GNVSUHSIJEDW,Approved,"Tue May 10 18:35:47 PDT 2016","Tue May 10 18:43:27 PDT 2016","{""trials"":[],""thisList"":[""laughter"",""pecan"",""graduate"",""leprosy"",""mother"",""bumble"",""promotion"",""hunter"",""hammer"",""vomit"",""depression"",""funeral"",""suffocate"",""contents"",""paradise"",""curtains"",""stove"",""kiss"",""seasick"",""suicide"",""slaughter"",""fingerprint"",""duct"",""torture"",""rape"",""romantic"",""broom"",""knitting"",""rainbow"",""rejected"",""murderer"",""baby"",""treasure"",""freezer"",""coyote"",""love"",""prison"",""lice"",""hairdryer"",""miracle"",""award"",""sweetheart"",""rabies"",""cash"",""volcano""],""thisRetrieval"":""volcano suicide depression mother bumble freezer curtain stove kiss romantic hunter vomit slaughter rainbow rejected award "",""theseComments"":[],""theseResults"":[1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1],""thisManip"":"""",""theseEmos"":[""positive"",""forgotten"",""forgotten"",""forgotten"",""positive"",""neutral"",""forgotten"",""neutral"",""forgotten"",""negative"",""negative"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""neutral"",""positive"",""forgotten"",""negative"",""negative"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""positive"",""forgotten"",""forgotten"",""positive"",""negative"",""forgotten"",""forgotten"",""forgotten"",""neutral"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""positive"",""forgotten"",""forgotten"",""forgotten"",""neutral""],""stimDur"":2000,""ITI"":1000,""numpos"":6,""numneg"":5,""numneut"":5}",
3UEDKCTP9VQSZE86QJFHRRFFFRL7KU,"P45: emotional memory demo"," ",3QRYMNZ7FYHJR2OAQ1FZCYKIQ6ANTL,A2PHAETQOS0JPI,Approved,"Thu May 12 11:11:18 PDT 2016","Thu May 12 11:16:34 PDT 2016","{""trials"":[],""thisList"":[""slaughter"",""broom"",""torture"",""lice"",""hunter"",""treasure"",""graduate"",""hairdryer"",""promotion"",""rabies"",""hammer"",""love"",""suicide"",""volcano"",""cash"",""suffocate"",""contents"",""funeral"",""sweetheart"",""rejected"",""stove"",""murderer"",""vomit"",""knitting"",""kiss"",""curtains"",""pecan"",""rape"",""miracle"",""romantic"",""seasick"",""award"",""leprosy"",""rainbow"",""baby"",""prison"",""freezer"",""fingerprint"",""coyote"",""mother"",""depression"",""duct"",""bumble"",""laughter"",""paradise""],""thisRetrieval"":""Miracle\nbumble\nrape\ntorture\nlove\nstove\nsweetheart \nfuneral\nrejection\n"",""theseComments"":[],""theseResults"":[0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0],""thisManip"":"""",""theseEmos"":[""forgotten"",""forgotten"",""negative"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""positive"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""negative"",""positive"",""forgotten"",""neutral"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""negative"",""positive"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""neutral"",""forgotten"",""forgotten""],""stimDur"":2000,""ITI"":1000,""numpos"":3,""numneg"":3,""numneut"":2}",
3UEDKCTP9VQSZE86QJFHRRFFFRL7KU,"P45: emotional memory demo"," ",3AWETUDC92SNZDMIZDRPTEPIP33IZH,AS9APWY42025Q,Approved,"Thu May 12 15:21:20 PDT 2016","Thu May 12 15:27:49 PDT 2016","{""trials"":[],""thisList"":[""duct"",""curtains"",""award"",""romantic"",""vomit"",""suffocate"",""bumble"",""seasick"",""freezer"",""treasure"",""prison"",""torture"",""cash"",""promotion"",""broom"",""slaughter"",""depression"",""funeral"",""hairdryer"",""suicide"",""pecan"",""graduate"",""love"",""paradise"",""rejected"",""murderer"",""fingerprint"",""sweetheart"",""laughter"",""mother"",""rainbow"",""leprosy"",""lice"",""hammer"",""rape"",""coyote"",""stove"",""knitting"",""baby"",""rabies"",""hunter"",""miracle"",""contents"",""kiss"",""volcano""],""thisRetrieval"":""depression\nsuicide\nfuneral\nsuffocation\nduct\ncurtain\npecan\ncash\ntreasure\nfreezer\nmurderer \nfingerprints\ncontents\nlice\nlove\nkiss\nsweetheart\ngraduation\nhairdryer\nvolcano\nseasick\nhammer"",""theseComments"":[],""theseResults"":[1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1],""thisManip"":"""",""theseEmos"":[""neutral"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""negative"",""neutral"",""positive"",""forgotten"",""forgotten"",""positive"",""forgotten"",""forgotten"",""forgotten"",""negative"",""negative"",""neutral"",""negative"",""neutral"",""forgotten"",""positive"",""forgotten"",""forgotten"",""negative"",""neutral"",""positive"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""negative"",""neutral"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""neutral"",""positive"",""neutral""],""stimDur"":2000,""ITI"":1000,""numpos"":5,""numneg"":6,""numneut"":8}",
3UEDKCTP9VQSZE86QJFHRRFFFRL7KU,"P45: emotional memory demo"," ",3AUQQEL7U5TVJY0SUQDG24CQFYGV0Z,AAGNZQHLPIBY9,Approved,"Thu May 12 16:45:15 PDT 2016","Thu May 12 16:57:25 PDT 2016","{""trials"":[],""thisList"":[""treasure"",""prison"",""pecan"",""sweetheart"",""contents"",""seasick"",""rape"",""rabies"",""leprosy"",""freezer"",""love"",""hairdryer"",""hammer"",""hunter"",""kiss"",""laughter"",""lice"",""promotion"",""award"",""stove"",""volcano"",""slaughter"",""miracle"",""murderer"",""funeral"",""bumble"",""rejected"",""cash"",""curtains"",""suffocate"",""romantic"",""coyote"",""baby"",""rainbow"",""vomit"",""fingerprint"",""paradise"",""mother"",""torture"",""duct"",""depression"",""broom"",""suicide"",""graduate"",""knitting""],""thisRetrieval"":""knitting, prison, treasure, rape, depression, mother, baby, rainbow, vomit, fingerprint, broom, lice, rabies, leprosy, suicide"",""theseComments"":[],""theseResults"":[1,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1],""thisManip"":"""",""theseEmos"":[""positive"",""negative"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""negative"",""negative"",""negative"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""negative"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""positive"",""positive"",""negative"",""neutral"",""forgotten"",""positive"",""forgotten"",""forgotten"",""negative"",""neutral"",""negative"",""forgotten"",""neutral""],""stimDur"":2000,""ITI"":1000,""numpos"":4,""numneg"":8,""numneut"":3}",
3UEDKCTP9VQSZE86QJFHRRFFFRL7KU,"P45: emotional memory demo"," ",3JPSL1DZ5SZEC6P1K1OIHTUQ2HQNA1,A1HG42CY0R1HHE,Approved,"Thu May 12 17:15:43 PDT 2016","Thu May 12 17:20:24 PDT 2016","{""trials"":[],""thisList"":[""rejected"",""rabies"",""suicide"",""miracle"",""love"",""rape"",""baby"",""contents"",""bumble"",""slaughter"",""laughter"",""volcano"",""fingerprint"",""vomit"",""hairdryer"",""funeral"",""mother"",""hunter"",""duct"",""freezer"",""curtains"",""award"",""murderer"",""sweetheart"",""suffocate"",""stove"",""paradise"",""promotion"",""knitting"",""seasick"",""lice"",""romantic"",""leprosy"",""graduate"",""torture"",""kiss"",""treasure"",""rainbow"",""cash"",""broom"",""hammer"",""pecan"",""coyote"",""prison"",""depression""],""thisRetrieval"":""rejected\nrabies\nlove\nrape\nsuicide\nmother\nhunter\nfreezer\ncurtain\nslaughter\nmurderer\nleprosy\nvolcano\npecan\nparadise\ndepression\nsweetheart\ntreasure\nfuneral\nstove\naward\npromotion"",""theseComments"":[],""theseResults"":[1,1,1,0,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,0,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1],""thisManip"":"""",""theseEmos"":[""negative"",""negative"",""negative"",""forgotten"",""positive"",""negative"",""forgotten"",""forgotten"",""forgotten"",""negative"",""positive"",""neutral"",""forgotten"",""forgotten"",""forgotten"",""negative"",""positive"",""neutral"",""forgotten"",""neutral"",""forgotten"",""positive"",""negative"",""positive"",""forgotten"",""neutral"",""positive"",""positive"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""negative"",""forgotten"",""forgotten"",""forgotten"",""positive"",""forgotten"",""forgotten"",""forgotten"",""forgotten"",""neutral"",""forgotten"",""forgotten"",""negative""],""stimDur"":2000,""ITI"":1000,""numpos"":8,""numneg"":9,""numneut"":5}",
